Aktuell_vermietet,Badewanne,Balkon,Barrierefrei,Baujahr,Dachboden,Denkmalobjekt,Dusche,Einbaukueche,Einliegerwohnung,Preis__in__EUR,Gaeste_WC,Garage_Stellplatz,Garten__mitnutzung,Grundstuecksflaeche__m2,Haustiere_erlaubt,Haustyp,Heizkosten__in__EUR,Heizungsart,Keller,Moebliert_Teilmoebliert,Provision__in__EUR,Terrasse,Verfuegbar_ab_Jahr,Verfuegbar_ab_Monat,Verkaeufer,Wohnflaeche__m2,Zimmer,adid,kw,plz,posterid
,"true",,,,"true",,,,,"39900",,"true","true","650",,"bauernhaus",,"oelheizung","true",,"nein",,"2018","1","privat","100","4","753439522","Haus_zu_verkaufen","66903","18838782"
,"true",,,"2000",,,"true","true",,"439000","true","true","true","300",,"doppelhaushaelfte",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","604533558","ObjNr:14804___Wunderschoene_Traum_Doppelhaushaelfte_in...","76726","39795553"
,"true","true",,"1962","true",,"true",,,"430000","true","true","true","1442",,"einfamilienhaus",,"zentralheizung","true",,"ja","true","2018","8","gewerblich","120","4","691696052","freistehendes_Einfamilienhaus_mit_zusaetzlichem_Bauplatz","51503","14180253"
,"true",,,"2016","true",,"true","true",,"1100","true","true",,,,"einfamilienhaus",,"gasheizung",,,,"true","2017","11","privat","160","5","693719597","Einfamilienhaus_in_Top_Lage","48612","12169037"
,"true",,,"1969",,,,,,"159000",,"true","true","886",,"mehrfamilienhaus",,"ofenheizung","true",,"ja",,,,"gewerblich","120","4","755629521","Flamersheim___Sanierungsbeduerftiges_Zweifamilienhaus...","53881","49136265"
,,,,"1985",,,,,,"440000",,"true",,"2600.00",,"einfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","7.0","544514800","Ein__bis_Zwei_Familienhaus_mit_240m²_Wohnflaeche_und_2...","45770","32630833"
,"true","true","true","1982","true",,"true","true","true","270000","true","true","true","800",,"einfamilienhaus",,"elektroheizung","true",,"nein","true","2017","10","privat","160","7","743219144","Einfamilienhaus_mit_einliegerwohnung_oder_Bueroraeumen","35792","24616259"
,,"true",,,,,,,,"360000","true","true",,"350",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","757518102","ALTRIP:_XXL_WOHNFLÄCHE_180_m²___EINFAMILIENHAUS_MIT...","67122","51171837"
,"true",,,"2017",,,"true",,,"252000","true",,,"596",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,"2017","11","gewerblich","140","5","734572833","BAUEN_zu_mietaehnlichen_Preisen_incl._Grundstueck","99428","46630055"
,"true",,,"2003","true",,"true","true",,"205000","true","true","true","1312",,"einfamilienhaus",,"gasheizung",,,"nein","true","2018","2","privat","140","4","745829983","effizientes_EFH_mit_grossem_Garten__Pool__Doppelgarage__Poolhaus","56729","31412035"
,,,,"1925",,,,,"true","280000","true","true","true","602",,"mehrfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","8","751736975","Altbau_mit_viel_Platz_und_zusaetzlichem_Baugrundstueck","41515","31294156"
,,,,"1930",,,"true",,,"319000","true","true","true","600",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2018","1","privat","100","5","729805865","Solides_Einfamilienhaus_in_Aachen_Verlautenheide__von_Privat","52080","28580965"
,,"true",,"1976",,,,,,"398000",,"true",,"453",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","4","705873106","Repraesentatives_EFH_in_zentraler_Lage_|_195m²_Wfl._|...","46045","32800969"
,"true",,,"1938",,,"true",,,"89000","true","true","true","1478",,"bauernhaus",,,"true",,"ja",,,,"gewerblich","100","5","734521803","Postbank_Immobilien_praesentiert:_Bauernhaus_mit_grossem...","54518","42223896"
,"true","true",,"1964",,,"true","true",,"300000","true","true","true","651",,"einfamilienhaus",,"ofenheizung","true",,"ja","true",,,"gewerblich","160","5","728737303","ObjNr:B_15761___Viel_Platz_zum_Wohnen_u._parallel_dazu...","67368","22460499"
,,,,"1900",,,"true","true",,"280000","true","true","true","200",,"doppelhaushaelfte",,"zentralheizung","true",,"ja",,,,"gewerblich","140","6","659310305","ObjNr:B_15186___Ruhiges_Wohnen_in_gepflegter...","67269","32578780"
,"true","true",,"1992",,,"true",,,"540000","true","true","true","643",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","9","733431631","Freistehendes_Einfamilienhaus_in_absoluter_Ruhiglage","50259","42060192"
,"true","true",,,,,"true","true",,"1640","true","true",,,"true","einfamilienhaus",,"gasheizung","true",,,"true","2018","3","privat","160","6","748048983","Haus_zur_Miete_in_Mondorf","50667","43688663"
,"true",,,"1920",,,"true",,,"289000",,"true","true","800",,"mehrfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","9","739169833","Zweifamilienhaus_in_Hagen_Hohenlimburg","58119","32596145"
,,,,"1962",,,,,,"175000",,"true",,"1193",,"mehrfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","8","735993373","Grosses_Zwei_Familienhaus__Mehrgenerationenhaus_oder...","57339","48067393"
,"true","true",,"1976",,,"true","true",,"308000","true","true",,"716",,"einfamilienhaus",,"elektroheizung","true",,"ja","true","2018","1","gewerblich","160","9","735579764","Wittlich_Bergweiler:_Einmalig_schoene_Aussicht_auf_Wittlich","54518","30269769"
,,"true",,"1982",,,,,,"395000","true","true","true","1011",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","637153394","Grosszuegiges_Einfamilienhaus_in_bevorzugter_Wohnlage...","56579","33377160"
,"true",,,"1961","true",,"true","true",,"169000","true","true","true","1350",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2017","10","privat","100","3","736711239","Haus_/_Ferienhaus_in_der_Eifel_Naehe_Nuerburgring___Grst._bebaubar","56729","20956545"
,"true","true",,"1984",,,"true",,"true","369000","true","true","true","763",,"mehrfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","7","692175000","Viel_Platz_fuer_die_ganze_Familie","58509","47773815"
,"true",,,"1975",,,,"true",,"249000","true","true","true","1200",,"bungalow",,"zentralheizung","true",,"ja",,"2017","1","gewerblich","160","6","614312424","Hier_ist_IHR_neues_zuhause_in_Neuhemsbach","67680","42921055"
,"true",,,"2007",,,"true","true",,"350000","true","true","true","1275.00",,"bungalow",,"zentralheizung",,,"ja","true",,,"gewerblich","160","6.0","697428025","Provisionsfrei_!____Attraktiver_Bungalow___Top...","57583","40525165"
,"true",,,"1939","true",,"true",,,"259000","true","true","true","1180",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","11","privat","160","5","748610603","Repraesentatives_Einfamilienhaus_in_Hamm_Werries","59071","1607378"
,"true","true",,"1988",,,"true","true",,"279000",,"true",,"800",,"einfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","7","757541898","Der_""Quellberg""__die_perfekte_Lage_in_Duelmen_mit_einem...","48249","51289024"
,"true",,,"1850",,,,,,"305000",,"true","true","1931",,"bauernhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","140","5","559637869","Werden_Sie_Grossgrundbesitzer!","55278","40430756"
,"true","true",,"2006",,,"true","true",,"345000","true","true","true","637",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","5","756775474","ObjNr:B_15918___Schoenes_neuwertiges_Fertighaus_mit...","67304","32583740"
,"true",,,"1977",,,"true",,,"229000",,"true","true","599",,"einfamilienhaus",,"oelheizung","true",,"ja","true",,,"gewerblich","140","3","742307529","Bad_Honnef_Aegidienberg__freistehendes_Einfamilienhaus","53604","48433399"
,"true",,,"1200","true",,"true",,,"1400","true","true","true",,"true","einfamilienhaus",,"gasheizung",,,,"true","2018","2","gewerblich","140","5","751598834","Wohnen_im_historischen_Ambiente","47906","5858082"
,"true","true",,"1981",,,"true",,,"279000","true","true","true","1385",,"mehrfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","8","735465129","Sehr_gepflegtes_Ein___Zweifamilienhaus_mit_grossem...","59929","42223833"
,"true",,,"1984",,,"true",,,"299000",,"true",,"236",,"mehrfamilienhaus",,"fussbodenheizung","true",,"ja",,,,"gewerblich","160","6","736768474","Super_instandgehaltenes_Mehrgenerationenhaus:_helles_2...","44287","30033072"
,,,,"1973","true",,"true","true",,"320000","true","true","true","1351",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","10","privat","160","12","682084231","Grosszuegiges_Einfamilienhaus_fuer_Rosen__und_Gartenliebhaber","37276","23688342"
,"true","true",,"1999","true",,"true","true","true","360000","true","true","true","580",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2018","1","privat","160","6","743291535","Geraeumiges_Einfamilienhaus_mit_Moeglichkeit_fuer_Einliegerwohnung","53498","2378177"
,"true",,,"1824",,,"true",,"true","139000","true","true","true","1002",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","10","699746938","Fachwerkhaus_mit_Nebengebaeude__Baujahr_vermutlich_um...","32825","39066883"
,,,,"1965",,,,,,"269000","true","true",,"2650",,"bungalow",,"zentralheizung","true",,"nein","true",,,"gewerblich","160","7","697998856","Ihre_Zukunft_beginnt_hier!","56355","34152289"
,"true",,"true","1975",,,"true","true",,"385000","true","true","true","450",,"bungalow",,"zentralheizung","true",,"nein","true",,,"privat","140","4","756579278","Tausche_Bungalow_frisch_renoviert_gegen_2_Fam.Haus_in_Limburgerho","67112","44683946"
,"true",,,"1907","true",,,"true","true","285000","true","true","true","893",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2018","4","privat","140","7","752507790","Freistehendes_Ein_Zweifamilienhaus_mit_gr._Grundstueck/Carport","45701","10397072"
,,"true",,"1955",,,"true","true",,"249000",,"true",,"500",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","8","760396678","Familiendomizil_in_Grevenbroich_Gustorf!","41517","51267810"
,,"true",,"1968",,,,"true",,"248000",,"true","true","2122",,"bauernhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","11","491520849","Bauernhof_fuer_Mensch_und_mehr","55471","44844706"
,,,,"1900",,,"true",,,"320000",,"true","true","695",,"einfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","6","712880674","ObjNr:15667___Einfamilienhaus_mit_Nebengebaeude_in...","67141","32583740"
,"true",,,"1967","true",,"true",,,"90000","true","true",,"223",,"andere",,"ofenheizung","true","true","nein",,"2017","11","privat","140","6","749246702","Haus_in_Beuren__b._Hermeskeil_zu_verkaufen","54413","33903362"
,"true","true",,"2001",,,"true","true",,"479000","true","true","true","286",,"reihenhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","708360412","ObjNr:B_15286___Top_Einfamilienhaus_in_gesuchter_Lage...","67065","32578780"
,,,"true","1977","true",,"true","true",,"239000",,"true","true","3930",,"einfamilienhaus",,"oelheizung","true",,"ja","true",,,"gewerblich","140","5","720941276","freistehendes_Einfamilienhaus_in_idyllischer_ruhiger_Ortsrandlage","53945","37091543"
,"true",,,,,,"true",,,"990","true","true","true",,"true","einfamilienhaus",,"gasheizung","true",,,"true","2017","11","privat","20","6","752772128","Einfamilienhaus_freistehend_mit_grossem_Garten","53773","17504370"
,,"true",,"1964",,,,"true",,"150000","true",,"true","756",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","724295944","Elegante_Residenz_im_Naturparadies","59929","50090328"
,"true",,,"1902",,,"true",,"true","195000",,"true","true","271",,"mehrfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","9","712568914","Ein_gemuetliches_Plaetzchen_fuer_die_grosse_Familie_in_der...","32825","39066883"
,"true",,,"2014","true",,"true","true",,"360000","true","true","true","488",,"einfamilienhaus",,"fussbodenheizung",,"true","nein","true",,,"privat","160","5","734720235","Einfamilienhaus","34277","10831062"
,"true","true",,,"true",,"true","true",,"660","true","true","true",,"true","einfamilienhaus","150","oelheizung","true",,,"true","2018","2","privat","160","4.0","759603542","Freistehendes_Einfamilienhaus_mit_Garten_und_Garage","55283","7477862"
,"true","true",,"2000","true",,"true","true","true","255000","true","true","true","1100",,"einfamilienhaus",,"gasheizung",,,"nein","true","2018","1","privat","160","8","756214295","Freistehendes_Einfamilienhaus","67817","4273803"
,"true","true",,"1807",,,"true",,,"330000","true","true","true","315",,"mehrfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","6","724254455","Charmantes_Fachwerkhaus_in_Neheims_Mitte!","59755","42117841"
,"true",,,"1966",,,,"true",,"400000","true","true","true","589",,"bungalow",,"gasheizung","true",,"nein","true","2017","10","privat","120","4","736624742","Einfamilienbungalow_Koblenz_Pfaffendorf","56076","4441695"
,"true","true","true","2004","true",,"true",,,"350000",,"true","true","472",,"einfamilienhaus",,"gasheizung",,,"nein","true",,,"privat","160","7","735264009","Ein_/Zweifamilienhaus_von_privat","51709","22006285"
,"true","true",,"1966","true",,"true","true","true","184000","true","true","true","808",,"einfamilienhaus",,"zentralheizung","true","true","nein","true","2018","3","privat","160","7","741544757","Gepflegtes_Haus_im_Eggetal","32361","12295795"
,"true",,,,,,"true","true",,"74000",,"true","true","1100",,"bauernhaus",,"ofenheizung",,,"ja",,,,"gewerblich","160","6","366200962","Guenstiger_Bauernhof_mit_vielen_Nebengebaeuden_und_bis...","54552","33552114"
,"true",,,"1946",,,"true","true","true","185000","true","true","true","1410",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","10","730591011","ObjNr:15782___Gepflegter_Hof_in_laendlicher_Umgebung...","67806","34169592"
,"true","true",,"1900","true",,"true","true",,"208000","true","true","true","967",,"bauernhaus",,"oelheizung","true","true","nein","true","2018",,"privat","160","9","673657683","EhmHofreite_gr_Haus_&Singelwo_Scheune__KFZ_Hebebuehne__Hof_Garten","67823","22803645"
,,"true",,"1992",,,,"true",,"340000","true","true","true","268",,"reihenhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","120","5","756858760","Familien_aufgepasst!_Schoenes_Reihenendhaus_erwartet...","76877","40507053"
,"true",,,,,,"true",,,"800","true",,"true",,"true","einfamilienhaus","100","gasheizung","true",,,"true","2017","11","privat","100","3","744148737","Einfamilienhaus","47138","13411297"
,,,,"1972",,,,"true",,"415000","true","true",,"1325",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5","680202836","Exklusives_Einfamilienhaus_mit_Anbau_und_grossem_Garten...","41844","36507961"
"true",,,,"1954",,,,,,"320000",,"true","true","1121",,"mehrfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","8","716946826","Ein_Haus_fuer_die_ganze_Familie","58453","39132279"
,"true","true",,"1970","true",,"true","true",,"200000","true","true","true","1265",,"einfamilienhaus",,"andere","true","true","nein",,,,"privat","160","8","741284086","Gemuetliches_helles_Haus_fuer_eine_grosse_Familie","36266","51010134"
,"true","true",,"1920","true",,"true",,,"690","true","true","true",,"true","einfamilienhaus",,"gasheizung","true",,,"true","2018","1","privat","120","6","760454375","6_ZKB_renoviert_mit_Garten__Hang__in_Altwied","56567","15880264"
,"true",,,"1982",,,"true","true",,"155000","true","true","true","723",,"einfamilienhaus",,"oelheizung",,,"nein","true",,,"privat","160","4","728587433","Schoenes_Einfamilienhaus_in_Herchweiler___Kusel_zu_verkaufen","66871","22227030"
"true","true","true",,,,,"true",,"true","420000","true","true","true","1100",,"mehrfamilienhaus",,,"true",,"ja","true","2017",,"gewerblich","160","15","758130312","Dreifamilienhaus_in_Suedkamen___NATURNAH__GROSSZÜGIG__VIELSEITIG","59174","41129461"
"true","true",,,"1976","true",,"true",,,"179500","true","true","true","795",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2017","12","gewerblich","120","4","688543409","Waldmohr__Wohnen_&_Geniessen_..freist._Bungalow_f._d._kl._Familie","66914","46158839"
,"true",,,,,,"true",,,"470000","true","true","true","742",,"bungalow",,"fussbodenheizung",,,"nein","true",,,"gewerblich","140","4","618703326","Neubauvorhaben_eines_Bungalows_in_KFW_55_Stndard","54332","40428781"
,"true",,"true","1930","true",,"true","true",,"328000","true","true","true","764",,"einfamilienhaus",,"gasheizung","true","true","nein","true","2017","11","privat","160","11","744781013","grosszuegiges_Haus_mit_vielen_Nutzungsmoeglichkeiten","33739","4181080"
,"true",,,"1900",,,,"true",,"58000",,"true","true","615",,"bauernhaus",,"oelheizung","true","true","ja",,"2017",,"gewerblich","140","7","669326499","Huebsches_Einfamilienhaus_mit_Nebengebaeude_im_schoenen_Schwarzerden","55629","39366976"
,"true",,,"2005",,,"true","true",,"558000","true","true","true","681",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","8","732472828","ObjNr:15526___Lichtdurchflutetes__hochwertiges_...","67663","32583740"
,"true",,,"2003",,,"true","true",,"299000","true","true","true","312",,"reihenhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","741708706","ObjNr:B_15844___Sehr_ruhiges_wohnen_im_REH_in_LU_Melm","67071","32578780"
,"true","true",,"1995",,,"true","true",,"205000","true","true",,"280",,"reihenhaus",,"gasheizung","true",,"nein","true","2017","10","privat","160","5","732780102","Schoenes_Reihenendhaus_in_Pirmasens__Fehrbach_zu_verkaufen_!","66954","5545706"
,,,,"1965",,,,,,"1200","true",,"true",,"true","einfamilienhaus",,"gasheizung","true",,,"true","2017","10","privat","160","6","701081608","Monteurunterkunft","53229","3055932"
,,,,"1978",,,"true","true",,"219000","true","true","true","620",,"bungalow",,"zentralheizung",,,"ja","true",,,"gewerblich","140","3","700301430","Sehr_gepflegter_Bungalow_mit_tollem_Grundsriss","49479","39190588"
"true",,,,"1933",,,,,,"340000",,"true","true","3373",,"mehrfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","7","679629010","Hofanwesen_zum_Verlieben","33829","33561363"
,"true",,,"1990","true",,"true","true",,"1400","true","true","true",,,"einfamilienhaus",,"oelheizung","true",,,"true","2018","1","privat","160","5","760086150","Schoenes_EFH_mit_grossem_Gruendstueck_in_Badem_zu_vermieten","54657","16382281"
